date,creator_tag,Spend,Campaign Name,Adset Name,Ad Name,ROAS,CTR,Hook Rate,Website Purchase,CPM,Frequency,Impressions,Thruplays,Video avg play time,Hold Rate
2026-03-06,Plyska,£0.04,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H4 - Copy,0,0.00%,0.00%,0,£3.33,1,12,0,1,0.00%
2026-03-06,Plyska,£0.00,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H1 - Copy,0,0.00%,50.00%,0,£0.00,1,4,0,4,0.00%
2026-03-06,Plyska,£0.81,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H2 - Copy,0,0.00%,37.50%,0,£10.12,1.03,80,4,4,6.25%
2026-03-06,Plyska,£0.06,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H3 - Copy,0,0.00%,75.00%,0,£15.00,1,4,0,8,0.00%
2026-03-06,Plyska,£0.02,GL - Dishwasher Sheets - Branded,GL - Dishwasher Sheets - PlyskaPerformance_Gut,DIP_230226_Video_9x16_PlyskaPerformance_Gut_DS_INV_H3 - Copy,0,0.00%,0.00%,0,£20.00,1,1,0,1,0.00%
2026-03-06,Plyska,£0.03,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H6 - Copy,0,0.00%,0.00%,0,£6.00,1,5,0,1,0.00%
2026-03-06,Plyska,£0.17,GL - Laundry Sheets - Branded,GL - Laundry Sheets - PlyskaPerformance_Fertility,DIP_230226_Video_9x16_PlyskaPerformance_Fertility_LD_INV_H1 - Copy,0,0.00%,33.33%,0,£14.17,1,12,1,4,10.00%
2026-03-07,Plyska,£0.80,GL - MSC - Branded,GL - MSC- Branded - PlyskaPerformance_VOCs_MSCS_INV,DIP_020326_Video_9x16_PlyskaPerformance_VOCs_MSCS_INV_H1 - Copy,0,0.00%,26.47%,0,£11.76,1.03,68,3,3,4.84%
2026-03-07,Plyska,£1.64,GL - MSC - Branded,GL - MSC- Branded - PlyskaPerformance_VOCs_MSCS_INV,DIP_020326_Video_9x16_PlyskaPerformance_VOCs_MSCS_INV_H4 - Copy,0,0.00%,24.30%,0,£15.33,1.07,107,4,3,4.30%
2026-03-07,Plyska,£0.32,GL - MSC - Branded,GL - MSC- Branded - PlyskaPerformance_VOCs_MSCS_INV,DIP_020326_Video_9x16_PlyskaPerformance_VOCs_MSCS_INV_H3 - Copy,0,0.00%,21.21%,0,£9.70,1.18,33,1,3,3.45%
2026-03-07,Plyska,£0.86,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H5 - Copy,0,2.50%,28.75%,0,£10.75,1.03,80,3,3,4.11%
2026-03-07,Plyska,£0.02,GL - Laundry Sheets - Branded,GL - Laundry Sheets - 6/March - PlyskaPerformance_SkinIrritation_LD,DIP_020326_Video_9x16_PlyskaPerformance_SkinIrritation_LD_INV_H4 - Copy,0,0.00%,16.67%,0,£3.33,1,6,0,3,0.00%
2026-03-07,Plyska,£0.61,GL - MSC - Branded,GL - MSC- Branded - PlyskaPerformance_VOCs_MSCS_INV,DIP_020326_Video_9x16_PlyskaPerformance_VOCs_MSCS_INV_H5 - Copy,0,0.00%,17.39%,0,£26.52,1.15,23,1,3,4.76%
